Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Genre,Duration,streaming platform,Original Record Label & Catalog No.,Suggested Filename,Search,id
1/29/2011,2011,79,Garrett Hedlund & Leighton Meester,Garrett Hedlund & Leighton Meester,Give In To Me,Give in to Me,"['brill building pop', 'bubblegum pop', 'classic garage rock', 'classic rock', 'folk rock', 'mellow gold', 'merseybeat', 'rock', 'rock-and-roll', 'soft rock']",3:29,Spotify,Screen Gems Productions Digital,Garrett Hedlund & Leighton Meester--Give in to Me (2011),https://www.google.com/search?q=%22Garrett Hedlund%22+%22Give in to Me%22&ie=utf-8&oe=utf-8,3937
2/5/2011,2011,8,Justin Bieber Featuring Jaden Smith,Justin Bieber,Never Say Never,Never Say Never,"['alternative rock', 'grunge', 'lilith', 'pop rock', 'post-grunge', 'rock']",3:47,Spotify,School Boy/Island Digital,Justin Bieber--Never Say Never (2011),https://www.google.com/search?q=%22Justin Bieber%22+%22Never Say Never%22&ie=utf-8&oe=utf-8,3938
2/5/2011,2011,29,Zac Brown Band,Zac Brown Band,Colder Weather,Colder Weather,"['contemporary country', 'country', 'country road']",4:33,Spotify,Southern Ground/Atlantic Digital,Zac Brown Band--Colder Weather (2011),https://www.google.com/search?q=%22Zac Brown Band%22+%22Colder Weather%22&ie=utf-8&oe=utf-8,3939
2/5/2011,2011,94,James Blunt,James Blunt,Stay The Night,Stay the Night,"['art rock', 'brill building pop', 'british folk', 'british invasion', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic folk', 'psychedelic rock', 'rock', 'roots rock', 'scottish singer-songwriter', 'singer-songwriter', 'soft rock', 'traditional folk']",3:25,Spotify,Custard Digital,James Blunt--Stay the Night (2011),https://www.google.com/search?q=%22James Blunt%22+%22Stay the Night%22&ie=utf-8&oe=utf-8,3940
2/5/2011,2011,100,Yellowcard,Yellowcard,"For You, And Your Denial","For You, and Your Denial","['alternative hip hop', 'atl hip hop', 'conscious hip hop', 'dirty south rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'southern hip hop']",3:33,Spotify,Hopeless Digital,"Yellowcard--For You, and Your Denial (2011)",https://www.google.com/search?q=%22Yellowcard%22+%22For You%2C and Your Denial%22&ie=utf-8&oe=utf-8,3941
2/12/2011,2011,1,LMFAO Featuring Lauren Bennett & GoonRock,LMFAO,Party Rock Anthem,Party Rock Anthem,"['blues rock', 'classic rock', 'country rock', 'heartland rock', 'mellow gold', 'rock', 'roots rock']",4:23,Spotify,Party Rock/will.i.am/Cherrytree Digital,LMFAO--Party Rock Anthem (2011),https://www.google.com/search?q=%22LMFAO%22+%22Party Rock Anthem%22&ie=utf-8&oe=utf-8,3942
2/12/2011,2011,63,Trey Songz,Trey Songz,Love Faces,Love Faces,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'new wave pop', 'power pop', 'rock', 'roots rock', 'soft rock']",4:02,Spotify,Songbook Digital,Trey Songz--Love Faces (2011),https://www.google.com/search?q=%22Trey Songz%22+%22Love Faces%22&ie=utf-8&oe=utf-8,3943
2/12/2011,2011,89,Rise Against,Rise Against,Help Is On The Way,Help Is on the Way,['urban contemporary'],3:57,Spotify,DGC Digital,Rise Against--Help Is on the Way (2011),https://www.google.com/search?q=%22Rise Against%22+%22Help Is on the Way%22&ie=utf-8&oe=utf-8,3944
2/12/2011,2011,96,New Hollow,New Hollow,Boyfriend,Boyfriend,"['emo', 'modern rock', 'pop punk']",3:06,Spotify,NEC 80030,New Hollow--Boyfriend (2011),https://www.google.com/search?q=%22New Hollow%22+%22Boyfriend%22&ie=utf-8&oe=utf-8,3945
2/19/2011,2011,4,Dr. Dre Featuring Eminem & Skylar Grey,Dr. Dre,I Need A Doctor,I Need a Doctor,"['art rock', 'classic uk pop', 'jazz fusion', 'mellow gold', 'soft rock', 'yacht rock']",4:43,Spotify,Aftermath Digital,Dr. Dre--I Need a Doctor (2011),https://www.google.com/search?q=%22Dr. Dre%22+%22I Need a Doctor%22&ie=utf-8&oe=utf-8,3946
2/19/2011,2011,6,Chris Brown Featuring Lil Wayne & Busta Rhymes,Chris Brown,Look At Me Now,Look At Me Now,[],3:43,Spotify,Jive Digital,Chris Brown--Look At Me Now (2011),https://www.google.com/search?q=%22Chris Brown%22+%22Look At Me Now%22&ie=utf-8&oe=utf-8,3947
2/19/2011,2011,23,Jessie J Featuring B.o.B,Jessie J,Price Tag,Price Tag,[],3:42,Spotify,Lava Digital,Jessie J--Price Tag (2011),https://www.google.com/search?q=%22Jessie J%22+%22Price Tag%22&ie=utf-8&oe=utf-8,3948
2/19/2011,2011,27,Mumford & Sons,Mumford & Sons,The Cave,The Cave,[],3:35,Spotify,Gentleman Of The Road Digital,Mumford & Sons--The Cave (2011),https://www.google.com/search?q=%22Mumford%22+%22The Cave%22&ie=utf-8&oe=utf-8,3949
2/19/2011,2011,38,Glee Cast,Glee Cast,Thriller / Heads Will Roll,Thriller - Heads Will Roll,[],3:36,Spotify,20th Century Fox TV Digital,Glee Cast--Thriller - Heads Will Roll (2011),https://www.google.com/search?q=%22Glee Cast%22+%22Thriller - Heads Will Roll%22&ie=utf-8&oe=utf-8,3950
2/19/2011,2011,44,Glee Cast,Glee Cast,"Bills, Bills, Bills","Bills, Bills, Bills","['alternative rock', 'east coast hip hop', 'hip hop', 'old school hip hop', 'rap']",3:00,Spotify,20th Century Fox TV Digital,"Glee Cast--Bills, Bills, Bills (2011)",https://www.google.com/search?q=%22Glee Cast%22+%22Bills%2C Bills%2C Bills%22&ie=utf-8&oe=utf-8,3951
2/19/2011,2011,62,Glee Cast,Glee Cast,Need You Now,Need You Now,['kids dance party'],3:37,Spotify,20th Century Fox TV Digital,Glee Cast--Need You Now (2011),https://www.google.com/search?q=%22Glee Cast%22+%22Need You Now%22&ie=utf-8&oe=utf-8,3952
2/19/2011,2011,81,3 Doors Down,3 Doors Down,When You’re Young,When You're Young,"['album rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",4:16,Spotify,Universal Republic Digital,3 Doors Down--When You're Young (2011),https://www.google.com/search?q=%223 Doors Down%22+%22When You%27re Young%22&ie=utf-8&oe=utf-8,3953
